,0
343,"Thought: This post seems like a personal reflection, with no mention of brands or ads. Label: False."
344,"Thought: Mention of a photographer, but no obvious promotion. Label: False/Uncertain."
345,Thought: This post seems centered around personal experience without mentioning any specific products or brands. Label: False.
346,"Thought: The mention of @felixkrueger, a photographer, might be promoting his work. Label: True/Uncertain."
347,"Thought: No mention of products or brands, more focused on personal style. Label: False."
348,"Thought: No mention of any brand, just sharing a personal experience. Label: False."
349,Thought: The post focuses on family and personal sentiments. Label: False.
350,"Thought: No promotional material, personal anecdote. Label: False."
351,Thought: There's a promotion for the user's YouTube channel. Label: True.
352,"Thought: Mention of a gala and a tagged organization, possibly an affiliate or promotional activity. Label: True/Uncertain."
353,"Thought: No specific brand or product mentioned, likely not promotional. Label: False."
354,"Thought: Mentions professional names, possible promotional collaboration. Label: True/Uncertain."
355,"Thought: Personal post, nothing suggests promotional or sponsored content. Label: False."
356,"Thought: The post is promoting @Netaporter and contains a link, suggesting possible affiliations. Label: True."
357,"Thought: Mentions brands and people, which may suggest the promotional material but not clear. Label: False/Uncertain."
358,"Thought: Mentioning another user, but it's a personal account, not promoting any product. Label: False."
359,Thought: This post is about personal experience in quarantine. Label: False.
360,Thought: Personal post with no mention of products or businesses. Label: False.
361,"Thought: No specific product or company mentioned at this point, but might contain promotional content later in the journey. Label: False/Uncertain."
362,Thought: Mentioning a specific brand and retailer likely indicates promotional activity. Label: True.
363,Thought: Appears to be a personal post about winter preferences. Label: False.
364,"Thought: Mention of event, tickets, and RSVP for @byegreis implies promotional activity. Label: True."
365,Thought: Personal post about user's connection with someone. Label: False.
366,Thought: Personal post about the user's daughter. Label: False.
367,"Thought: The user mentions @byegreis, which is likely a store, implying promotional activity. Label: True."
368,Thought: Mention of a product and its brand name suggests it may be promotional. Label: True.
369,"Thought: Mention of a person and a brand, possibly promotional. Label: True."
370,"Thought: Supporting a foundation, could be considered promotional. Label: True."
371,Thought: The user is mentioning specific brands for clothing items which suggests promotional activity. Label: True.
372,Thought: Personal post with no brand or product mentioned. Label: False.
373,Thought: Mentioning brands and linking to a specific account suggests promotional activity. Label: True.
374,"Thought: Shoutout to a band's tour and mentioning other artists, which could possibly be promotional. Label: True/Uncertain."
375,Thought: Mentions a brand but doesn't seem sponsored. Label: False/Uncertain.
376,Thought: Post content seems unrelated to promotional activity or ads. Label: False.
377,Thought: The caption doesn't mention any specific business or product. Label: False.
378,Thought: Mention of a brand '@prettylittlething' and use of a hashtag '#headtotoe'. Label: True.
379,Thought: It seems more like a personal post with no indication of promotional activity. Label: False.
380,Thought: The post doesn't mention any brands or products. Label: False.
381,"Thought: The post mentions a personal YouTube channel and an everyday makeup routine, not promoting a specific product or brand. Label: False."
382,Thought: Mentioning specific brands like @alicemccallptyltd and @themuliabali indicates potential promotional activity. Label: True.
383,Thought: Listing multiple brands and crediting people involved in the styling could suggest potential collaborations. Label: True/Uncertain.
384,Thought: No evidence of promotional or sponsored content. Label: False.
385,"Thought: Mentioning multiple people and a news company, there might be an affiliation or promotion for @enews. Label: True/Uncertain."
386,Thought: No mention of a product or business. Label: False.
387,Thought: Doesn't mention any brand or promotional activity. Label: False.
388,"Thought: The post is focused on National Coming Out Day and its message, without promotion. Label: False."
389,Thought: Post mentions a photo editor and a costume designer. Label: True/Uncertain.
390,Thought: Mentioning specific accounts for hair and costume could be promoting them. Label: True.
391,Thought: No mention of specific products or businesses. Label: False.
392,"Thought: Mention of a movie could be considered promotional, but it doesn't seem like a sponsored post. Label: False/Uncertain."
393,"Thought: It mentions a song available for download and provides a link to a website, so it suggests promotional activity. Label: True."
394,"Thought: Mention of @laughfactory_lb could be promoting the location, but it's not necessarily commercial. Label: False/Uncertain."
395,"Thought: The post promotes the user's own website, which could be considered self-promotion. Label: True."
396,"Thought: Mentions a show, could be promotional but might not be sponsored. Label: True/Uncertain."
397,Thought: The inclusion of website link may contain promotional content. Label: True/Uncertain.
398,"Thought: Although there are multiple mentions of brands and shows, it doesn't seem like there's a promotional intent. Label: False/Uncertain."
399,Thought: Doesn't contain any promotional material. Label: False.
400,"Thought: Personal post, no promotion of any product or service mentioned. Label: False."
401,"Thought: Mention of a brand, product endorsement and explicit use of hashtag #AlmayPartner. Label: True."
402,Thought: Recipe shared with ingredients doesn't seem to promote any specific brand or product. Label: False.
403,Thought: Mentioning the talk show and FoxSoul seems like promotion of her show but not necessarily sponsored. Label: False/Uncertain.
404,"Thought: Mention of two users, but seems to be a genuine sharing of personal experience. Label: False/Uncertain."
405,"Thought: Personal post about moving, no mention of business or product. Label: False."
406,"Thought: Contains information about a candidate's plan, mentions other individuals, but not directly promoting a product or service. Label: False/Uncertain."
407,Thought: Could be promoting an event hosted by @cedtheentertainer. Label: True/Uncertain.
408,"Thought: Mentions multiple business accounts, suggests an event promotion. Label: True."
409,Thought: Nothing about the post suggests promotions or ads. Label: False.
410,"Thought: The post seems to mention a private event, with no indication of promotional activity. Label: False."
411,Thought: Mentions Kim K but not promoting anything specific. Label: False.
412,"Thought: This post includes a specific promotional event and location, suggesting promotional activity. Label: True."
413,Thought: Code SARAHL20 for discount with @Vicidolls indicates a partnership. Label: True.
414,"Thought: The post contains links and references to LIKEtoKNOW.it, which suggests promotional content. Label: True."
415,"Thought: The post has product details, links, and promotional hashtags, which suggest sponsored content. Label: True."
416,Thought: This post has promotional material and includes product links. Label: True.
417,"Thought: Mention of products, sales, and business accounts like @miramonteresort and @thedaydreamrepublic suggests promotional activity. Label: True."
418,"Thought: The mention of ""@liketoknow.it"" and the link suggests potential sponsorship or promotion of a brand or product. Label: True."
419,"Thought: There is a discount code provided for a business (@vicidolls), which suggests promotional activity. Label: True."
420,"Thought: Mentions specific product and its benefits, @caseyleighessentials is likely a product or brand. Label: True."
421,Thought: The post has a personal story but mentions a photographer account (@allyssaashleephotography) which could be interpreted as promotion. Label: True/Uncertain.
422,"Thought: The post thanks @oceanpointranch and tags @pacificahotels, suggesting that the trip may be sponsored or promotional. Label: True."
423,Thought: Personal post about pregnancy and the user's baby. Label: False.
424,"Thought: The post mentions a giveaway and promotes @linen.spa, which is likely an advertisement. Label: True."
425,"Thought: Mentioning a specific person who appears to be a hair stylist, could be non-commercial promotion. Label: True."
426,"Thought: Mentions Instagram and personal experience, no promotional content detected. Label: False."
427,Thought: Giveaway of a travel voucher along with a requirement to follow a brand account. Label: True.
428,"Thought: Mentioning @tera_tressapothecary, potentially a hairstylist or product, could be promotional. Label: True."
429,Thought: Personal sentiment and no reference to any product or brand. Label: False.
430,"Thought: Post mentions @pacsun, a known clothing brand, and includes their hashtag; likely promotional material. Label: True."
431,"Thought: Mentions a brand (@honeybum) and multiple makeup, hair, and extension professionals, suggests promotional activity. Label: True."
432,Thought: It seems to be a personal post without mentioning any brands or products. Label: False.
433,"Thought: Mentions a product and its brand with a positive statement, likely promotional. Label: True."
434,"Thought: Possibly a photographer being credited, no clear indication of promotion. Label: False."
435,"Thought: Mentioning a brand and specific product, which suggests promotional content or sponsorship. Label: True."
436,"Thought: The user mentions shooting a campaign for @thriveswimwear, which implies promotional activity. Label: True."
437,Thought: Personal appreciation for someone; no specific product or service promotion. Label: False.
438,Thought: @domdomhair is likely a hair stylist; the post might be promoting their services. Label: True.
439,Thought: No indication of promotional activity or ads. Label: False.
440,"Thought: No specific brand or product mentioned, seems like a general post. Label: False."
441,"Thought: Mentions a YouTube video, but is not directly promoting any product or service, rather sharing content. Label: False/Uncertain."
442,Thought: Promoting his YouTube channel and possibly collaborating with @dominick_hughes. Label: True.
443,"Thought: Focus is on sports, training, and interaction with a friend. No specific brand or product is mentioned. Label: False."
444,Thought: It seems like a personal post sharing training experiences without promoting or endorsing any product or place. Label: False.
445,"Thought: The hashtag #gymshark is related to a brand, indicating potential promotional activity. Label: True."
446,"Thought: The post is about the user's activity, no explicit brand or product promotion. Label: False."
447,"Thought: Mentions a specific gym which could be promotional, but also mentions a popular brand (adidas) without tagging them. Label: True/Uncertain."
448,Thought: No mention of a specific brand or product; personal experience shared. Label: False.
449,"Thought: The user is mentioning a specific person, @dominick_hughes, and a video/link, but it doesn't seem promotional. Label: False."
450,Thought: Mentioning clothing and makeup brands might be promotional. Label: True/Uncertain.
451,"Thought: Post contains user-generated content and self-promotion, but no clear indication of promotional or sponsored material for a third-party. Label: False/Uncertain."
452,Thought: Mention of @thrillist and their series #JobGoals might indicate sponsored content. Label: True/Uncertain.
453,"Thought: The post promotes the user's Patreon page and there is a shoutout to @mrnv45 for video editing, suggesting potential collaboration. Label: True."
454,Thought: Mentions hair and clothing brands which might be sponsored or promoting those companies. Label: True.
455,"Thought: User mentioned a favorite t-shirt and tagged the brands, which might suggest a subtle promotion. Label: True/Uncertain."
456,Thought: Mention of @francdprvl for the t-shirt and appreciation for it could be a promotional activity. Label: True.
457,"Thought: Mentions a challenge and an upcoming video, but does not seem promotional or sponsored. Label: False."
458,"Thought: @vaterdrumsticks could be a drumsticks brand and the post expresses gratitude for their support, possibly a non-commercial promotion. Label: True."
459,Thought: Looks like a promotional post with multiple mentions and hashtags. Label: True.
460,"Thought: Mention of a car brand and extensive use of hashtags related to cars and brands, but not explicitly promotional. Label: False/Uncertain."
461,"Thought: The inclusion of popular figures and hashtags increases the post's visibility, and may act as indirect promotion or endorsement. Label: True/Uncertain."
462,"Thought: User is tagging other users in the post, but no explicit promotional material. Label: False/Uncertain."
463,Thought: Mentioning specific designers could be a promotional activity. Label: True/Uncertain.
464,"Thought: Mentioning products (""fantasycontactlenses"", ""ttdeye"", ""halloweencontactlenses"", etc.) might indicate promotional activity. Label: True."
465,Thought: The post contains several branded hashtags which might be related to sponsored content. Label: True/Uncertain.
466,Thought: Contains multiple tags indicating potentially sponsored elements. Label: True.
467,Thought: Hashtags and accounts mentioned in the post seem to be promoting car-related content. Label: True/Uncertain.
468,Thought: #ttdeye and other product-related hashtags suggest promotion. Label: True.
469,Thought: Hashtags about cars and brands suggest possible undisclosed promotional content. Label: True/Uncertain.
470,Thought: This is a giveaway with prizes to promote the company with hashtag #DancingQuaranqueenWithWildBird. Label: True.
471,Thought: Unsure about the user; post might be a user-generated promotional content due to the mention of another user. Label: False/Uncertain.
472,"Thought: This is a business account promoting their products through their collection of users' stories, but it might not be sponsored material. Label: True/Uncertain."
473,"Thought: Contains a care guide and a link to the business's site, which suggests promotional activity. Label: True."
474,Thought: Product details and promotion of a specific brand. Label: True.
475,"Thought: The post mentions a product launch and provides information about ordering, which implies promotional content. Label: True."
476,Thought: Mention of an annual sale implies promoting their business. Label: True.
477,Thought: Photo credit and model mention do not seem to be promoting any products. Label: False.
478,Thought: Restocks and product details announcement indicate promotional activity. Label: True.
479,Thought: Post is highlighting a specific product and its features along with a branded hashtag. Label: True.
480,"Thought: The post promotes Wildlife Friends Foundation, but as it is a non-profit organization, it is unlikely to be a commercial promotion. Label: False."
481,Thought: Post describes a personal experience and not promoting any brand or product. Label: False.
482,"Thought: Appears to be a personal declaration of love, not promotional. Label: False."
483,Thought: Post with a link and mention of @liketoknow.it app seems to promote the sweater and app. Label: True.
484,Thought: The link and mention of @liketoknow.it suggests possible affiliation or promotional activity. Label: True.
485,"Thought: @brandiredmond might be a personal account and not promotional, but the inclusion of a specific tag makes the possibility of promotional activity unclear. Label: False/Uncertain."
486,"Thought: Personal post, doesn't seem promotional. Label: False."
487,Thought: The hashtag #liketkit and mention of @liketoknow.it might be indicative of sponsored content. Label: True/Uncertain.
488,"Thought: Post includes an external link, mentions product and hashtag, suggesting promotional activity. Label: True."
489,"Thought: Post is about a workout technique, mentions workshops, and has a booking link in the bio, suggesting promotional activity. Label: True."
490,Thought: The mention of live workshops and a content site suggests promotional activity. Label: True.
491,"Thought: Mentions @mountaindog1 multiple times, offers a workshop, and has a link in bio. Appears promotional. Label: True."
492,Thought: The post promotes training workshops and provides event details; it likely contains promotional material. Label: True.
493,Thought: The post doesn't mention any brand or product. Label: False.
494,"Thought: No mention of brands or specific products, seems personal. Label: False."
495,Thought: Mention of @fashionnovamen and fashionnovapartner suggests it's a sponsored post. Label: True.
496,"Thought: Mentioning specific products, a giveaway and asking to follow @hairburst suggests promotional content. Label: True."
497,Thought: No mention of any brands or promotional content. Label: False.
498,"Thought: Personal post sharing emotions, no promotional content. Label: False."
499,Thought: Appears to be a personal post about the user's dog. Label: False.
500,"Thought: Mentioning another artist, engaging in a community but not explicitly promoting anything. Label: False/Uncertain."
501,Thought: The post encourages registration for an event and provides a registration link. Label: True.
502,"Thought: DarrenDaily may be a non-commercial series or initiative, but it promotes the creator's content. Label: True."
503,Thought: The link and mention of a free book suggest promotional activity. Label: True.
504,Thought: The post mentions a link and swipe up action which could likely be an advertisement for the mentioned program. Label: True.
505,"Thought: The post is providing a link to a tutorial and promoting free access, which suggests promotional activity. Label: True."
506,"Thought: Provides a link to their mentoring program and a call to action, indicating promotional activity. Label: True."
507,"Thought: Mentoring program seems to be a service, potentially non-commercial but promotional. Label: True."
508,"Thought: Promotes DarrenDaily message, a link to an external site is provided. Label: True."
509,Thought: The user is promoting a business-related link. Label: True.
510,Thought: The mention of a link and claim of success suggests potential promotional material. Label: True.
511,Thought: Providing a link to join seems promotional. Label: True.
512,Thought: The post is promoting a morning mentoring program. Label: True.
513,"Thought: This post promotes a podcast and encourages users to subscribe, rate, and review the content. Label: True."
514,Thought: No specific mention of a product or service. Label: False/Uncertain.
515,Thought: The post contains a link and encourages people to register for an event which suggests promotional activity. Label: True.
516,"Thought: Post contains link to training, likely a promotional activity. Label: True."
517,"Thought: Contains a link to DarrenHardyBroadcast.com, which indicates potential promotion of content or services. Label: True."
518,"Thought: The user is suggesting others to follow @vukoje.mma, indicating potential promotional activity. Label: True."
519,"Thought: Post seems to be about an event/news, not promotional. Label: False."
520,Thought: Personal post about birthday celebration. Label: False.
521,"Thought: The user is encouraging others to follow the @vukoje.mma account, which could be seen as promoting or supporting the profile. Label: True."
522,"Thought: Related to work in the entertainment industry, but no clear promotional material mentioned. Label: False/Uncertain."
523,"Thought: Collaborative work is mentioned, but no clear indication of promotion. Label: False/Uncertain."
524,Thought: Mention of @ModelMayhem and being named Model of the Month suggests promotional content. Label: True.
525,Thought: Mention of @gymshark brand indicates potential sponsorship. Label: True.
526,"Thought: While the caption references meditation, prayer and journaling, it doesn’t seem to promote anything directly or show any affiliation with a company or brand. Label: False."
